🧘‍♂️ Top 647 all days (stability 5-8, sorted by avgFirePeace desc):

126. 1988-07-19T13:10 | meditate=false | fire=3.5 | peace=6.5 | stability=7 | growth=5.20 | avgFirePeace=5.00
127. 1988-08-12T13:10 | meditate=false | fire=3 | peace=7 | stability=7 | growth=4.20 | avgFirePeace=5.00
128. 1988-08-17T13:10 | meditate=false | fire=2 | peace=8 | stability=8 | growth=3.60 | avgFirePeace=5.00
129. 1988-11-25T13:10 | meditate=true | fire=3 | peace=7 | stability=8 | growth=4.20 | avgFirePeace=5.00
130. 1989-03-10T13:10 | meditate=false | fire=3.5 | peace=6.5 | stability=8 | growth=3.60 | avgFirePeace=5.00
131. 1989-06-22T13:10 | meditate=true | fire=2 | peace=8 | stability=6 | growth=3.50 | avgFirePeace=5.00
132. 1989-08-02T13:10 | meditate=false | fire=3.5 | peace=6.5 | stability=8 | growth=4.50 | avgFirePeace=5.00
133. 1989-09-30T13:10 | meditate=true | fire=3.5 | peace=6.5 | stability=7 | growth=4.50 | avgFirePeace=5.00
134. 1989-11-04T13:10 | meditate=false | fire=3.5 | peace=6.5 | stability=8 | growth=3.85 | avgFirePeace=5.00
135. 1989-11-05T13:10 | meditate=false | fire=4 | peace=6 | stability=7 | growth=4.80 | avgFirePeace=5.00
136. 1990-08-15T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=8 | growth=8.50 | avgFirePeace=5.00
137. 1990-08-16T13:10 | meditate=false | fire=6.5 | peace=3.5 | stability=8 | growth=9.00 | avgFirePeace=5.00
138. 1990-09-06T13:10 | meditate=false | fire=4.5 | peace=5.5 | stability=7 | growth=6.60 | avgFirePeace=5.00
139. 1990-09-07T13:10 | meditate=false | fire=4.5 | peace=5.5 | stability=7 | growth=6.60 | avgFirePeace=5.00
140. 1991-12-20T13:10 | meditate=false | fire=6 | peace=4 | stability=7 | growth=8.40 | avgFirePeace=5.00
141. 1991-12-24T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=8 | growth=8.25 | avgFirePeace=5.00
142. 1992-03-02T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=6.60 | avgFirePeace=5.00
143. 1992-03-19T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=7 | growth=8.25 | avgFirePeace=5.00
144. 1992-05-18T13:10 | meditate=true | fire=4.5 | peace=5.5 | stability=8 | growth=6.60 | avgFirePeace=5.00
145. 1992-10-05T13:10 | meditate=true | fire=6.5 | peace=3.5 | stability=7 | growth=11.05 | avgFirePeace=5.00
146. 1992-12-05T13:10 | meditate=true | fire=4.5 | peace=5.5 | stability=8 | growth=7.15 | avgFirePeace=5.00
147. 1992-12-15T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.20 | avgFirePeace=5.00
148. 1993-03-16T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.80 | avgFirePeace=5.00
149. 1993-04-25T13:10 | meditate=true | fire=7 | peace=3 | stability=8 | growth=10.40 | avgFirePeace=5.00
150. 1993-05-08T13:10 | meditate=false | fire=4 | peace=6 | stability=8 | growth=6.00 | avgFirePeace=5.00
151. 1996-12-07T13:10 | meditate=false | fire=7 | peace=3 | stability=8 | growth=10.40 | avgFirePeace=5.00
152. 1997-02-19T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=7 | growth=7.80 | avgFirePeace=5.00
153. 1997-05-28T13:10 | meditate=false | fire=5 | peace=5 | stability=8 | growth=7.20 | avgFirePeace=5.00
154. 1997-05-31T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.00 | avgFirePeace=5.00
155. 1997-06-19T13:10 | meditate=false | fire=6 | peace=4 | stability=8 | growth=8.00 | avgFirePeace=5.00
156. 1997-06-25T13:10 | meditate=true | fire=6 | peace=4 | stability=8 | growth=8.00 | avgFirePeace=5.00
157. 1997-09-20T13:10 | meditate=false | fire=6 | peace=4 | stability=8 | growth=8.10 | avgFirePeace=5.00
158. 1997-12-16T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=8 | growth=8.25 | avgFirePeace=5.00
159. 1998-02-16T13:10 | meditate=true | fire=4 | peace=6 | stability=7 | growth=6.00 | avgFirePeace=5.00
160. 1998-03-18T13:10 | meditate=true | fire=6 | peace=4 | stability=7 | growth=7.70 | avgFirePeace=5.00
161. 1998-03-19T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=7 | growth=6.75 | avgFirePeace=5.00
162. 1998-07-21T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.20 | avgFirePeace=5.00
163. 1998-08-13T13:10 | meditate=false | fire=5 | peace=5 | stability=8 | growth=7.20 | avgFirePeace=5.00
164. 1998-10-05T13:10 | meditate=true | fire=5 | peace=5 | stability=8 | growth=7.20 | avgFirePeace=5.00
165. 1999-03-23T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=7 | growth=8.50 | avgFirePeace=5.00
166. 1988-03-07T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
167. 1988-03-08T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
168. 1988-03-09T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.70 | avgFirePeace=4.75
169. 1988-03-29T13:10 | meditate=true | fire=5.5 | peace=4 | stability=7 | growth=8.45 | avgFirePeace=4.75
170. 1988-05-09T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
171. 1988-06-08T13:10 | meditate=false | fire=3.5 | peace=6 | stability=8 | growth=4.55 | avgFirePeace=4.75
172. 1988-06-19T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.05 | avgFirePeace=4.75
173. 1988-06-21T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.50 | avgFirePeace=4.75
174. 1988-06-22T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.05 | avgFirePeace=4.75
175. 1988-06-26T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
176. 1988-06-29T13:10 | meditate=true | fire=4 | peace=5.5 | stability=5 | growth=5.00 | avgFirePeace=4.75
177. 1988-08-19T13:10 | meditate=false | fire=2.5 | peace=7 | stability=8 | growth=2.70 | avgFirePeace=4.75
178. 1988-09-20T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.05 | avgFirePeace=4.75
179. 1988-10-02T13:10 | meditate=true | fire=2.5 | peace=7 | stability=8 | growth=3.60 | avgFirePeace=4.75
180. 1988-11-26T13:10 | meditate=true | fire=3.5 | peace=6 | stability=8 | growth=4.50 | avgFirePeace=4.75
181. 1989-06-23T13:10 | meditate=true | fire=2.5 | peace=7 | stability=7 | growth=3.15 | avgFirePeace=4.75
182. 1989-07-01T13:10 | meditate=true | fire=2 | peace=7.5 | stability=7 | growth=2.80 | avgFirePeace=4.75
183. 1989-07-30T13:10 | meditate=false | fire=3.5 | peace=6 | stability=8 | growth=3.50 | avgFirePeace=4.75
184. 1989-08-19T13:10 | meditate=false | fire=3 | peace=6.5 | stability=8 | growth=3.20 | avgFirePeace=4.75
185. 1989-09-08T13:10 | meditate=true | fire=2.5 | peace=7 | stability=6 | growth=2.50 | avgFirePeace=4.75
186. 1990-06-15T13:10 | meditate=true | fire=5 | peace=4.5 | stability=6 | growth=7.70 | avgFirePeace=4.75
187. 1990-09-17T13:10 | meditate=true | fire=6 | peace=3.5 | stability=6 | growth=9.80 | avgFirePeace=4.75
