🧘‍♂️ Top 1276 all days (stability 5-8, sorted by avgFirePeace desc):

208. 1990-06-18T13:10 | meditate=true | fire=7.5 | peace=5 | stability=8 | growth=11.40 | avgFirePeace=6.25
209. 1990-09-04T13:10 | meditate=false | fire=3.5 | peace=9 | stability=8 | growth=4.40 | avgFirePeace=6.25
210. 1990-09-19T13:10 | meditate=true | fire=7.5 | peace=5 | stability=7 | growth=10.50 | avgFirePeace=6.25
211. 1990-10-11T13:10 | meditate=true | fire=5 | peace=7.5 | stability=6 | growth=6.00 | avgFirePeace=6.25
212. 1991-02-27T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=7.50 | avgFirePeace=6.25
213. 1991-03-04T13:10 | meditate=true | fire=5 | peace=7.5 | stability=8 | growth=6.00 | avgFirePeace=6.25
214. 1991-03-05T13:10 | meditate=true | fire=5 | peace=7.5 | stability=7 | growth=6.00 | avgFirePeace=6.25
215. 1991-04-30T13:10 | meditate=false | fire=5 | peace=7.5 | stability=8 | growth=6.00 | avgFirePeace=6.25
216. 1992-03-03T13:10 | meditate=true | fire=5 | peace=7.5 | stability=7 | growth=6.30 | avgFirePeace=6.25
217. 1992-04-16T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=9.00 | avgFirePeace=6.25
218. 1992-04-21T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=8.80 | avgFirePeace=6.25
219. 1992-11-18T13:10 | meditate=true | fire=6 | peace=6.5 | stability=7 | growth=8.40 | avgFirePeace=6.25
220. 1992-11-19T13:10 | meditate=true | fire=6 | peace=6.5 | stability=7 | growth=8.80 | avgFirePeace=6.25
221. 1993-01-15T13:10 | meditate=true | fire=5 | peace=7.5 | stability=8 | growth=7.70 | avgFirePeace=6.25
222. 1993-03-05T13:10 | meditate=true | fire=2 | peace=10.5 | stability=5 | growth=2.40 | avgFirePeace=6.25
223. 1993-03-07T13:10 | meditate=true | fire=3.5 | peace=9 | stability=6 | growth=3.50 | avgFirePeace=6.25
224. 1993-03-14T13:10 | meditate=true | fire=3.5 | peace=9 | stability=6 | growth=3.50 | avgFirePeace=6.25
225. 1993-05-02T13:10 | meditate=false | fire=3.5 | peace=9 | stability=8 | growth=3.50 | avgFirePeace=6.25
226. 1993-06-02T13:10 | meditate=true | fire=4 | peace=8.5 | stability=6 | growth=5.00 | avgFirePeace=6.25
