🧘‍♂️ Top 2557 all days (stability 2-9, sorted by fire desc):

95. 1992-10-07T13:10 | meditate=true | fire=6 | peace=3.5 | stability=7 | growth=9.80 | avgFirePeace=4.75
96. 1992-11-10T13:10 | meditate=false | fire=6 | peace=3.5 | stability=9 | growth=9.80 | avgFirePeace=4.75
97. 1992-11-13T13:10 | meditate=false | fire=6 | peace=6.5 | stability=9 | growth=7.20 | avgFirePeace=6.25
98. 1993-01-23T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
99. 1993-01-24T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
100. 1993-01-26T13:10 | meditate=true | fire=6 | peace=4.5 | stability=7 | growth=8.40 | avgFirePeace=5.25
101. 1993-03-09T13:10 | meditate=false | fire=6 | peace=3.5 | stability=9 | growth=9.80 | avgFirePeace=4.75
102. 1993-04-24T13:10 | meditate=true | fire=6 | peace=2 | stability=7 | growth=10.50 | avgFirePeace=4.00
103. 1993-04-27T13:10 | meditate=true | fire=6 | peace=2.5 | stability=8 | growth=9.80 | avgFirePeace=4.25
104. 1993-06-10T13:10 | meditate=false | fire=6 | peace=4.5 | stability=9 | growth=7.80 | avgFirePeace=5.25
105. 1993-09-10T13:10 | meditate=false | fire=6 | peace=3 | stability=9 | growth=9.10 | avgFirePeace=4.50
106. 1993-09-11T13:10 | meditate=false | fire=6 | peace=3.5 | stability=9 | growth=9.80 | avgFirePeace=4.75
107. 1988-01-27T13:10 | meditate=true | fire=5.5 | peace=2.5 | stability=7 | growth=9.10 | avgFirePeace=4.00
108. 1988-02-13T13:10 | meditate=false | fire=5.5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.50
109. 1988-03-10T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=9 | growth=8.25 | avgFirePeace=5.00
110. 1988-03-28T13:10 | meditate=true | fire=5.5 | peace=0 | stability=7 | growth=12.00 | avgFirePeace=2.75
111. 1988-03-29T13:10 | meditate=true | fire=5.5 | peace=4 | stability=7 | growth=8.45 | avgFirePeace=4.75
112. 1988-04-23T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.75 | avgFirePeace=6.00
113. 1988-05-20T13:10 | meditate=false | fire=5.5 | peace=9 | stability=8 | growth=4.55 | avgFirePeace=7.25
114. 1988-06-20T13:10 | meditate=false | fire=5.5 | peace=5 | stability=7 | growth=7.15 | avgFirePeace=5.25
115. 1988-06-23T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=5.50 | avgFirePeace=6.25
116. 1988-09-24T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.05 | avgFirePeace=6.00
117. 1989-11-07T13:10 | meditate=false | fire=5.5 | peace=9 | stability=9 | growth=4.40 | avgFirePeace=7.25
118. 1989-11-14T13:10 | meditate=false | fire=5.5 | peace=8 | stability=9 | growth=4.55 | avgFirePeace=6.75
119. 1989-12-13T13:10 | meditate=true | fire=5.5 | peace=5 | stability=8 | growth=6.60 | avgFirePeace=5.25
120. 1990-03-14T13:10 | meditate=true | fire=5.5 | peace=3 | stability=5 | growth=7.70 | avgFirePeace=4.25
121. 1990-06-16T13:10 | meditate=true | fire=5.5 | peace=2 | stability=6 | growth=9.75 | avgFirePeace=3.75
122. 1990-08-15T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=8 | growth=8.50 | avgFirePeace=5.00
123. 1990-08-17T13:10 | meditate=false | fire=5.5 | peace=1.5 | stability=8 | growth=9.75 | avgFirePeace=3.50
124. 1990-08-29T13:10 | meditate=false | fire=5.5 | peace=1 | stability=9 | growth=10.50 | avgFirePeace=3.25
125. 1990-09-10T13:10 | meditate=false | fire=5.5 | peace=6 | stability=9 | growth=6.00 | avgFirePeace=5.75
126. 1990-09-14T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=9.10 | avgFirePeace=4.50
127. 1990-09-15T13:10 | meditate=false | fire=5.5 | peace=1 | stability=8 | growth=9.75 | avgFirePeace=3.25
128. 1990-09-27T13:10 | meditate=true | fire=5.5 | peace=0.5 | stability=7 | growth=9.35 | avgFirePeace=3.00
129. 1990-10-04T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=6 | growth=7.80 | avgFirePeace=4.50
130. 1991-07-03T13:10 | meditate=false | fire=5.5 | peace=1.5 | stability=8 | growth=10.40 | avgFirePeace=3.50
131. 1991-07-26T13:10 | meditate=false | fire=5.5 | peace=2.5 | stability=9 | growth=9.10 | avgFirePeace=4.00
132. 1991-07-27T13:10 | meditate=false | fire=5.5 | peace=2.5 | stability=9 | growth=9.10 | avgFirePeace=4.00
133. 1991-09-10T13:10 | meditate=false | fire=5.5 | peace=3 | stability=9 | growth=9.00 | avgFirePeace=4.25
134. 1991-09-19T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=7.70 | avgFirePeace=4.25
135. 1991-09-21T13:10 | meditate=false | fire=5.5 | peace=-0.5 | stability=8 | growth=9.35 | avgFirePeace=2.50
136. 1991-10-29T13:10 | meditate=false | fire=5.5 | peace=3 | stability=9 | growth=8.45 | avgFirePeace=4.25
137. 1991-11-01T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=8.45 | avgFirePeace=4.25
138. 1991-11-02T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=9.00 | avgFirePeace=4.25
139. 1991-12-07T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=9 | growth=7.15 | avgFirePeace=5.00
140. 1991-12-13T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=9 | growth=7.80 | avgFirePeace=5.00
141. 1991-12-16T13:10 | meditate=false | fire=5.5 | peace=4 | stability=7 | growth=7.70 | avgFirePeace=4.75
142. 1991-12-17T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=7 | growth=8.25 | avgFirePeace=4.50
143. 1991-12-18T13:10 | meditate=false | fire=5.5 | peace=2.5 | stability=7 | growth=8.25 | avgFirePeace=4.00
144. 1991-12-21T13:10 | meditate=false | fire=5.5 | peace=2 | stability=9 | growth=8.45 | avgFirePeace=3.75
145. 1991-12-24T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=8 | growth=8.25 | avgFirePeace=5.00
146. 1991-12-28T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.70 | avgFirePeace=4.75
